"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 26 08:25:38 GMT 2024","Mon Aug 26 08:25:41 GMT 2024","3500","tests.ui_tests","widgets_test","TestWidgets","","","Status change opening tabs and text tab",""
"passed","Mon Aug 26 08:24:36 GMT 2024","Mon Aug 26 08:24:39 GMT 2024","3894","tests.api_tests","book_store_test","TestBookStore","","","Delete all books in the user profile",""
"passed","Mon Aug 26 08:24:47 GMT 2024","Mon Aug 26 08:24:51 GMT 2024","3779","tests.ui_tests","interactions_test","TestInteractions","","","Resizable",""
"failed","Mon Aug 26 08:24:25 GMT 2024","Mon Aug 26 08:24:31 GMT 2024","6132","tests.ui_tests","widgets_test","TestWidgets","","","First accordian card",""
"passed","Mon Aug 26 08:24:39 GMT 2024","Mon Aug 26 08:24:43 GMT 2024","3306","tests.ui_tests","widgets_test","TestWidgets","","","Third accordian card",""
"passed","Mon Aug 26 08:25:17 GMT 2024","Mon Aug 26 08:25:23 GMT 2024","5762","tests.ui_tests","widgets_test","TestWidgets","","","Slider value change",""
"passed","Mon Aug 26 08:25:28 GMT 2024","Mon Aug 26 08:25:31 GMT 2024","2703","tests.ui_tests","elements_test","TestElements","","","Double click on the button",""
"passed","Mon Aug 26 08:24:52 GMT 2024","Mon Aug 26 08:24:56 GMT 2024","4023","tests.ui_tests","interactions_test","TestInteractions","","","Simple droppable",""
"passed","Mon Aug 26 08:24:28 GMT 2024","Mon Aug 26 08:24:29 GMT 2024","851","tests.api_tests","book_store_test","TestBookStore","","","Added book in the user profile",""
"passed","Mon Aug 26 08:25:59 GMT 2024","Mon Aug 26 08:26:00 GMT 2024","1461","tests.ui_tests","elements_test","TestElements","","","Upload file",""
"passed","Mon Aug 26 08:25:39 GMT 2024","Mon Aug 26 08:25:41 GMT 2024","2588","tests.ui_tests","elements_test","TestElements","","","Switching to dynamic link",""
"passed","Mon Aug 26 08:24:43 GMT 2024","Mon Aug 26 08:24:52 GMT 2024","8594","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Alert will appear after 5 seconds",""
"skipped","Mon Aug 26 08:24:31 GMT 2024","Mon Aug 26 08:24:34 GMT 2024","3583","tests.api_tests","book_store_test","TestBookStore","","","Added books in the user profile",""
"passed","Mon Aug 26 08:24:49 GMT 2024","Mon Aug 26 08:24:50 GMT 2024","499","tests.api_tests","book_store_test","TestBookStore","","","Checking if the book information from the get request matches the books in the list",""
"passed","Mon Aug 26 08:24:39 GMT 2024","Mon Aug 26 08:24:42 GMT 2024","3000","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Click button to see alert",""
"passed","Mon Aug 26 08:24:46 GMT 2024","Mon Aug 26 08:24:49 GMT 2024","2375","tests.ui_tests","elements_test","TestElements","","","Impressive radio button",""
"passed","Mon Aug 26 08:26:01 GMT 2024","Mon Aug 26 08:26:07 GMT 2024","6230","tests.ui_tests","elements_test","TestElements","","","Click the button after 5 seconds",""
"skipped","Mon Aug 26 08:25:16 GMT 2024","Mon Aug 26 08:25:22 GMT 2024","5390","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Large modal",""
"broken","Mon Aug 26 08:25:55 GMT 2024","Mon Aug 26 08:25:58 GMT 2024","2552","tests.ui_tests","elements_test","TestElements","","","Download file",""
"passed","Mon Aug 26 08:25:06 GMT 2024","Mon Aug 26 08:25:14 GMT 2024","7462","tests.ui_tests","elements_test","TestElements","","","Web table update person info",""
"passed","Mon Aug 26 08:24:52 GMT 2024","Mon Aug 26 08:24:55 GMT 2024","2813","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Alert confirm box will appear",""
