"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 27 09:07:10 GMT 2024","Tue Aug 27 09:07:17 GMT 2024","6738","tests.ui_tests","elements_test","TestElements","","","Right click on the button",""
"passed","Tue Aug 27 09:06:50 GMT 2024","Tue Aug 27 09:06:55 GMT 2024","4387","tests.ui_tests","widgets_test","TestWidgets","","","Change date",""
"passed","Tue Aug 27 09:06:19 GMT 2024","Tue Aug 27 09:06:24 GMT 2024","4962","tests.ui_tests","interactions_test","TestInteractions","","","Resizable box expected maximum and minimum size",""
"passed","Tue Aug 27 09:07:08 GMT 2024","Tue Aug 27 09:07:10 GMT 2024","1699","tests.ui_tests","elements_test","TestElements","","","Double click on the button",""
"passed","Tue Aug 27 09:06:33 GMT 2024","Tue Aug 27 09:06:39 GMT 2024","6205","tests.ui_tests","interactions_test","TestInteractions","","","Accept droppable",""
"passed","Tue Aug 27 09:06:40 GMT 2024","Tue Aug 27 09:06:45 GMT 2024","5586","tests.ui_tests","interactions_test","TestInteractions","","","Prevent propogation droppable",""
"broken","Tue Aug 27 09:07:59 GMT 2024","Tue Aug 27 09:08:05 GMT 2024","6271","tests.ui_tests","elements_test","TestElements","","","Appearance of an invisible button",""
"failed","Tue Aug 27 09:06:25 GMT 2024","Tue Aug 27 09:06:27 GMT 2024","2977","tests.ui_tests","interactions_test","TestInteractions","","","Resizable",""
"passed","Tue Aug 27 09:06:49 GMT 2024","Tue Aug 27 09:06:52 GMT 2024","3633","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Small modal",""
"passed","Tue Aug 27 09:06:20 GMT 2024","Tue Aug 27 09:06:28 GMT 2024","7732","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Alert will appear after 5 seconds",""
"skipped","Tue Aug 27 09:06:08 GMT 2024","Tue Aug 27 09:06:11 GMT 2024","2595","tests.api_tests","book_store_test","TestBookStore","","","Added books in the user profile",""
"passed","Tue Aug 27 09:06:02 GMT 2024","Tue Aug 27 09:06:10 GMT 2024","8022","tests.ui_tests","book_store_application_test","TestBookStoreApplication","","","Login to book store",""
"passed","Tue Aug 27 09:06:46 GMT 2024","Tue Aug 27 09:06:54 GMT 2024","7385","tests.ui_tests","interactions_test","TestInteractions","","","Revert draggable droppable",""
"passed","Tue Aug 27 09:07:37 GMT 2024","Tue Aug 27 09:07:38 GMT 2024","1450","tests.ui_tests","elements_test","TestElements","","","API not found",""
"passed","Tue Aug 27 09:07:54 GMT 2024","Tue Aug 27 09:07:56 GMT 2024","2009","tests.ui_tests","widgets_test","TestWidgets","","","Selection of elements from standard multi-select",""
"passed","Tue Aug 27 09:07:22 GMT 2024","Tue Aug 27 09:07:25 GMT 2024","2866","tests.ui_tests","elements_test","TestElements","","","Switching to dynamic link",""
"passed","Tue Aug 27 09:06:50 GMT 2024","Tue Aug 27 09:06:57 GMT 2024","6563","tests.ui_tests","elements_test","TestElements","","","Web table update person info",""
"passed","Tue Aug 27 09:06:03 GMT 2024","Tue Aug 27 09:06:03 GMT 2024","316","tests.api_tests","account_test","TestAccount","","","User authorization status",""
"passed","Tue Aug 27 09:06:44 GMT 2024","Tue Aug 27 09:06:50 GMT 2024","5198","tests.ui_tests","widgets_test","TestWidgets","","","test_single_color_name_field",""
"passed","Tue Aug 27 09:06:59 GMT 2024","Tue Aug 27 09:07:04 GMT 2024","4395","tests.ui_tests","interactions_test","TestInteractions","","","Axis restricted draggable",""
"passed","Tue Aug 27 09:06:03 GMT 2024","Tue Aug 27 09:06:09 GMT 2024","6790","tests.ui_tests","widgets_test","TestWidgets","","","First accordian card",""
"passed","Tue Aug 27 09:06:28 GMT 2024","Tue Aug 27 09:06:32 GMT 2024","3502","tests.ui_tests","interactions_test","TestInteractions","","","Simple droppable",""
"passed","Tue Aug 27 09:06:44 GMT 2024","Tue Aug 27 09:06:50 GMT 2024","5857","tests.ui_tests","elements_test","TestElements","","","Web table search person",""
"passed","Tue Aug 27 09:06:33 GMT 2024","Tue Aug 27 09:06:38 GMT 2024","5254","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Alert prompt box will appear",""
"passed","Tue Aug 27 09:06:13 GMT 2024","Tue Aug 27 09:06:18 GMT 2024","5468","tests.ui_tests","interactions_test","TestInteractions","","","Selectable",""
"broken","Tue Aug 27 09:07:28 GMT 2024","Tue Aug 27 09:07:33 GMT 2024","4380","tests.ui_tests","widgets_test","TestWidgets","","","Appearance tool tips",""
