"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 09:17:14 GMT 2024","Mon Aug 26 09:17:29 GMT 2024","15554","tests.ui_tests","widgets_test","TestWidgets","","","Appearance reset stop start button in progress bar",""
"passed","Mon Aug 26 09:17:09 GMT 2024","Mon Aug 26 09:17:14 GMT 2024","4997","tests.ui_tests","elements_test","TestElements","","","Web table delete person",""
"broken","Mon Aug 26 09:17:52 GMT 2024","Mon Aug 26 09:17:58 GMT 2024","6571","tests.ui_tests","elements_test","TestElements","","","Click the button after 5 seconds",""
"passed","Mon Aug 26 09:17:29 GMT 2024","Mon Aug 26 09:17:32 GMT 2024","2482","tests.ui_tests","elements_test","TestElements","","","Switching to dynamic link",""
"passed","Mon Aug 26 09:17:38 GMT 2024","Mon Aug 26 09:17:40 GMT 2024","1497","tests.ui_tests","elements_test","TestElements","","","API bad request",""
"passed","Mon Aug 26 09:17:32 GMT 2024","Mon Aug 26 09:17:34 GMT 2024","1455","tests.ui_tests","elements_test","TestElements","","","API created",""
"passed","Mon Aug 26 09:16:32 GMT 2024","Mon Aug 26 09:16:41 GMT 2024","8261","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Alert will appear after 5 seconds",""
"passed","Mon Aug 26 09:16:55 GMT 2024","Mon Aug 26 09:17:01 GMT 2024","5912","tests.ui_tests","interactions_test","TestInteractions","","","Prevent propogation droppable",""
"broken","Mon Aug 26 09:18:06 GMT 2024","Mon Aug 26 09:18:12 GMT 2024","6314","tests.ui_tests","elements_test","TestElements","","","Appearance of an invisible button",""
"passed","Mon Aug 26 09:16:16 GMT 2024","Mon Aug 26 09:16:24 GMT 2024","7894","tests.ui_tests","book_store_application_test","TestBookStoreApplication","","","Login to book store",""
"passed","Mon Aug 26 09:16:42 GMT 2024","Mon Aug 26 09:16:46 GMT 2024","4366","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Alert confirm box will appear",""
"passed","Mon Aug 26 09:17:34 GMT 2024","Mon Aug 26 09:17:36 GMT 2024","1475","tests.ui_tests","elements_test","TestElements","","","API no content",""
"skipped","Mon Aug 26 09:17:05 GMT 2024","Mon Aug 26 09:17:09 GMT 2024","3796","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Large modal",""
"passed","Mon Aug 26 09:17:49 GMT 2024","Mon Aug 26 09:17:53 GMT 2024","3252","tests.ui_tests","widgets_test","TestWidgets","","","Color selected form old style select menu",""
"passed","Mon Aug 26 09:17:02 GMT 2024","Mon Aug 26 09:17:09 GMT 2024","7269","tests.ui_tests","interactions_test","TestInteractions","","","Revert draggable droppable",""
"passed","Mon Aug 26 09:17:15 GMT 2024","Mon Aug 26 09:17:19 GMT 2024","3964","tests.ui_tests","elements_test","TestElements","","","Web table change count row",""
"failed","Mon Aug 26 09:16:17 GMT 2024","Mon Aug 26 09:16:17 GMT 2024","0","tests.api_tests","book_store_test","TestBookStore","","","Delete book in the user profile",""
"passed","Mon Aug 26 09:16:16 GMT 2024","Mon Aug 26 09:16:24 GMT 2024","7893","tests.ui_tests","elements_test","TestElements","","","Text box",""
"passed","Mon Aug 26 09:16:32 GMT 2024","Mon Aug 26 09:16:37 GMT 2024","4748","tests.ui_tests","interactions_test","TestInteractions","","","Resizable box expected maximum and minimum size",""
"passed","Mon Aug 26 09:16:16 GMT 2024","Mon Aug 26 09:16:21 GMT 2024","4658","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","New tab",""
"passed","Mon Aug 26 09:16:51 GMT 2024","Mon Aug 26 09:16:55 GMT 2024","3736","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Frames",""
"passed","Mon Aug 26 09:17:14 GMT 2024","Mon Aug 26 09:17:19 GMT 2024","4375","tests.ui_tests","interactions_test","TestInteractions","","","Axis restricted draggable",""
"passed","Mon Aug 26 09:17:40 GMT 2024","Mon Aug 26 09:17:44 GMT 2024","4283","tests.ui_tests","widgets_test","TestWidgets","","","Contents of the menu on the page",""
"passed","Mon Aug 26 09:16:38 GMT 2024","Mon Aug 26 09:16:42 GMT 2024","4483","tests.ui_tests","interactions_test","TestInteractions","","","Resizable",""
"passed","Mon Aug 26 09:16:22 GMT 2024","Mon Aug 26 09:16:27 GMT 2024","4713","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","New windows",""
"passed","Mon Aug 26 09:17:22 GMT 2024","Mon Aug 26 09:17:24 GMT 2024","1667","tests.ui_tests","elements_test","TestElements","","","Right click on the button",""
"passed","Mon Aug 26 09:17:44 GMT 2024","Mon Aug 26 09:17:46 GMT 2024","1522","tests.ui_tests","elements_test","TestElements","","","API not found",""
"passed","Mon Aug 26 09:16:26 GMT 2024","Mon Aug 26 09:16:31 GMT 2024","5671","tests.ui_tests","interactions_test","TestInteractions","","","Selectable",""
"passed","Mon Aug 26 09:16:47 GMT 2024","Mon Aug 26 09:16:54 GMT 2024","6804","tests.ui_tests","elements_test","TestElements","","","Web table add person",""
"passed","Mon Aug 26 09:16:49 GMT 2024","Mon Aug 26 09:16:55 GMT 2024","5776","tests.ui_tests","interactions_test","TestInteractions","","","Accept droppable",""
"passed","Mon Aug 26 09:16:38 GMT 2024","Mon Aug 26 09:16:42 GMT 2024","3813","tests.ui_tests","elements_test","TestElements","","","Impressive radio button",""
"skipped","Mon Aug 26 09:16:16 GMT 2024","Mon Aug 26 09:16:16 GMT 2024","0","tests.api_tests","book_store_test","TestBookStore","","","Added books in the user profile",""
"passed","Mon Aug 26 09:17:36 GMT 2024","Mon Aug 26 09:17:38 GMT 2024","1607","tests.ui_tests","elements_test","TestElements","","","API moved",""
"passed","Mon Aug 26 09:16:23 GMT 2024","Mon Aug 26 09:16:28 GMT 2024","4992","tests.ui_tests","widgets_test","TestWidgets","","","second accordian card",""
"passed","Mon Aug 26 09:16:16 GMT 2024","Mon Aug 26 09:16:30 GMT 2024","14572","tests.ui_tests","forms_test","TestForms","","","Filling in the registration form for students",""
"broken","Mon Aug 26 09:17:46 GMT 2024","Mon Aug 26 09:17:49 GMT 2024","2488","tests.ui_tests","elements_test","TestElements","","","Download file",""
"passed","Mon Aug 26 09:16:15 GMT 2024","Mon Aug 26 09:16:25 GMT 2024","9214","tests.ui_tests","interactions_test","TestInteractions","","","Sortable",""
"passed","Mon Aug 26 09:16:56 GMT 2024","Mon Aug 26 09:16:59 GMT 2024","3746","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Nested frames",""
"failed","Mon Aug 26 09:16:17 GMT 2024","Mon Aug 26 09:16:17 GMT 2024","0","tests.api_tests","book_store_test","TestBookStore","","","Delete all books in the user profile",""
"passed","Mon Aug 26 09:16:35 GMT 2024","Mon Aug 26 09:16:39 GMT 2024","3887","tests.ui_tests","widgets_test","TestWidgets","","","Addition and deletion colors from multiple color names field",""
"failed","Mon Aug 26 09:16:16 GMT 2024","Mon Aug 26 09:16:16 GMT 2024","0","tests.api_tests","account_test","TestAccount","","","Information about the user and books in his profile",""
"passed","Mon Aug 26 09:17:59 GMT 2024","Mon Aug 26 09:18:05 GMT 2024","6211","tests.ui_tests","elements_test","TestElements","","","Button color change",""
"failed","Mon Aug 26 09:16:15 GMT 2024","Mon Aug 26 09:16:15 GMT 2024","0","tests.api_tests","account_test","TestAccount","","","User authorization status",""
"passed","Mon Aug 26 09:17:40 GMT 2024","Mon Aug 26 09:17:42 GMT 2024","1569","tests.ui_tests","elements_test","TestElements","","","API unauthorized",""
"skipped","Mon Aug 26 09:16:18 GMT 2024","Mon Aug 26 09:16:18 GMT 2024","0","tests.api_tests","book_store_test","TestBookStore","","","Replacing a book from the profile by a new book request ",""
"passed","Mon Aug 26 09:16:28 GMT 2024","Mon Aug 26 09:16:32 GMT 2024","3309","tests.ui_tests","alerts_frame_windows_test","TestAlertsFrameWindows","","","Click button to see alert",""
